web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,player-stats
"1613237180-1223","https://www.atptour.com/en/rankings/singles","Jiri Vesely","https://www.atptour.com/en/players/jiri-vesely/v708/overview","Player Stats","https://www.atptour.com/en/players/jiri-vesely/v708/player-stats","64%"
"1613237175-1201","https://www.atptour.com/en/rankings/singles","Cameron Norrie","https://www.atptour.com/en/players/cameron-norrie/n771/overview","Player Stats","https://www.atptour.com/en/players/cameron-norrie/n771/player-stats","1st Serve Return Points Won"
"1613237083-445","https://www.atptour.com/en/rankings/singles","Norbert Gombos","https://www.atptour.com/en/players/norbert-gombos/gb93/overview","Player Stats","https://www.atptour.com/en/players/norbert-gombos/gb93/player-stats","Break Points Opportunities"
"1613237350-2647","https://www.atptour.com/en/rankings/singles","Taylor Fritz","https://www.atptour.com/en/players/taylor-fritz/fb98/overview","Player Stats","https://www.atptour.com/en/players/taylor-fritz/fb98/player-stats","2nd Serve Return Points Won"
"1613237276-2032","https://www.atptour.com/en/rankings/singles","Nick Kyrgios","https://www.atptour.com/en/players/nick-kyrgios/ke17/overview","Player Stats","https://www.atptour.com/en/players/nick-kyrgios/ke17/player-stats","Service Games Won"
"1613237484-3779","https://www.atptour.com/en/rankings/singles","Novak Djokovic","https://www.atptour.com/en/players/novak-djokovic/d643/overview","Player Stats","https://www.atptour.com/en/players/novak-djokovic/d643/player-stats","13,544"
"1613237121-756","https://www.atptour.com/en/rankings/singles","Kevin Anderson","https://www.atptour.com/en/players/kevin-anderson/a678/overview","Player Stats","https://www.atptour.com/en/players/kevin-anderson/a678/player-stats","16%"
"1613237148-979","https://www.atptour.com/en/rankings/singles","Marcos Giron","https://www.atptour.com/en/players/marcos-giron/gc88/overview","Player Stats","https://www.atptour.com/en/players/marcos-giron/gc88/player-stats","Break Points Converted"
"1613237382-2894","https://www.atptour.com/en/rankings/singles","John Isner","https://www.atptour.com/en/players/john-isner/i186/overview","Player Stats","https://www.atptour.com/en/players/john-isner/i186/player-stats","1st Serve"
"1613237400-3075","https://www.atptour.com/en/rankings/singles","Karen Khachanov","https://www.atptour.com/en/players/karen-khachanov/ke29/overview","Player Stats","https://www.atptour.com/en/players/karen-khachanov/ke29/player-stats","Return Points Won"
